lat,lng,time
48.8732135,2.3903852999999997,10h00
48.870343,2.286851,10h00
48.870543,2.287051,10h00
48.8724475,2.3041662,10h00
48.8726475,2.3043662,10h00
48.8728475,2.3045662,10h00
48.8584385,2.3800903,10h00
48.8586385,2.3802903,10h00
48.8588385,2.3804903,10h00
48.826231899999996,2.3424498,10h00
48.826431899999996,2.3426498,10h00
48.826631899999995,2.3428498,10h00
48.826831899999995,2.3430498,10h00
48.827031899999994,2.3432498,10h00
48.8260824,2.3580487999999997,10h00
48.861906899999994,2.3735705,10h00
48.86210689999999,2.3737705,10h00
48.86230689999999,2.3739705,10h00
48.8458586,2.3748769,10h00
48.89135170000001,2.3507171000000002,10h00
48.8487919,2.2661693,10h00
48.8480068,2.3940642999999997,10h00
48.8482068,2.3942642999999997,10h00
48.8484068,2.3944642999999997,10h00
48.8310493,2.3460584,10h00
48.828,2.306022,10h00
48.8282,2.306222,10h00
48.8284,2.306422,10h00
48.8286,2.306622,10h00
48.8288,2.306822,10h00
48.82899999999999,2.307022,10h00
48.8444276,2.3522773,10h00
48.8367951,2.3186569,10h00
48.8369951,2.3188569,10h00
48.8371951,2.3190569,10h00
48.8373951,2.3192569,10h00
48.8207604,2.3370783,10h00
48.8209604,2.3372783,10h00
48.8211604,2.3374783,10h00
48.8213604,2.3376783,10h00
48.8215604,2.3378783,10h00
48.872046999999995,2.3131252,10h00
48.872246999999994,2.3133252,10h00
48.872446999999994,2.3135252,10h00
48.83984,2.273328,10h00
48.84004,2.273528,10h00
48.87327,2.309515,10h00
48.873470000000005,2.309715,10h00
48.873670000000004,2.309915,10h00
48.881834000000005,2.32056,10h00
48.882034000000004,2.32076,10h00
48.8437929,2.2698931,10h00
48.8439929,2.2700931,10h00
48.8441929,2.2702931,10h00
48.8443929,2.2704931,10h00
48.878351,2.3044935,10h00
48.878551,2.3046935,10h00
48.878751,2.3048935,10h00
48.883627600000004,2.3339857000000004,10h00
48.883827600000004,2.3341857000000004,10h00
48.88075,2.3976290000000002,10h00
48.88095,2.397829,10h00
48.88115,2.398029,10h00
48.88135,2.398229,10h00
48.87869,2.409082,10h00
48.878890000000006,2.409282,10h00
48.879090000000005,2.409482,10h00
48.879290000000005,2.409682,10h00
48.8723178,2.3387762000000003,10h00
48.8725178,2.3389762000000003,10h00
48.86959,2.400348,10h00
48.8650994,2.3963304,10h00
48.8652994,2.3965304,10h00
48.8654994,2.3967304,10h00
48.854502600000004,2.3701830000000004,10h00
48.841952500000005,2.3728276000000004,10h00
48.842152500000005,2.3730276000000003,10h00
48.852677299999996,2.3710901,10h00
48.852877299999996,2.3712901,10h00
48.857795700000004,2.3902639999999997,10h00
48.857995700000004,2.390464,10h00
48.8581957,2.390664,10h00
48.8583957,2.390864,10h00
48.8585957,2.391064,10h00
48.864062100000005,2.3713985,10h00
48.853660999999995,2.3923486,10h00
48.853861,2.3925486,10h00
48.854061,2.3927486,10h00
48.854261,2.3929486,10h00
48.875556,2.319321,10h00
48.846148,2.2785330000000004,10h00
48.846348,2.2787330000000003,10h00
48.846548,2.2789330000000003,10h00
48.846748,2.2791330000000003,10h00
48.8406851,2.400428,10h00
48.8408851,2.400628,10h00
48.8410851,2.400828,10h00
48.8412851,2.401028,10h00
48.8414851,2.401228,10h00
48.8416851,2.401428,10h00
48.8740623,2.3703034,10h00
48.8742623,2.3705034,10h00
48.8744623,2.3707034,10h00
48.8746623,2.3709034,10h00
48.8746335,2.3062487999999997,10h00
48.87808,2.371484,10h00
48.827687,2.3330017000000005,10h00
48.827887,2.3332017000000005,10h00
48.8479,2.175519,10h00
48.8481,2.175719,10h00
48.855326700000006,2.3783382,10h00
48.852022999999996,2.389719,10h00
48.852222999999995,2.389919,10h00
48.852422999999995,2.390119,10h00
48.852623,2.390319,10h00
48.8344789,2.3672062,10h00
48.8346789,2.3674062,10h00
48.84744,2.258728,10h00
48.847640000000006,2.258928,10h00
48.847840000000005,2.259128,10h00
48.895546200000005,2.3282817000000002,10h00
48.8334137,2.388111,10h00
48.83361370000001,2.388311,10h00
48.83381370000001,2.3885110000000003,10h00
48.83401370000001,2.3887110000000003,10h00
